cycle,specific_capacity
1,311.681569
2,314.144711
3,313.883132
4,312.556389
5,310.606769
6,314.051435
7,313.714
8,312.545611
9,311.305042
10,313.695792
11,313.330917
12,313.322974
13,313.156254
14,313.243156
15,312.795417
16,312.1635
17,311.28145
18,312.969826
19,312.6185
20,312.360408
21,311.645417
22,313.48725
23,312.161547
24,312.679831
25,312.499167
26,313.1443
27,312.056833
28,312.135
29,312.248147
30,313.124667
31,312.054104
32,312.322017
33,312.409125
34,312.959833
35,312.165756
36,312.13975
37,312.223115
38,312.157589
39,312.247782
40,310.110607
41,311.609056
42,311.865667
43,311.431503
44,308.697976
45,310.882428
46,311.975119
47,311.719915
48,310.042453
49,311.883083
50,311.964828
51,311.881135
52,310.64939
53,312.041
54,311.984619
55,312.251657
56,312.240574
57,312.141006
58,312.15875
59,312.241667
60,312.32775
61,312.577333
62,312.235865
63,312.241667
64,312.24725
65,312.434417
66,312.323833
67,312.356333
68,311.553279
69,312.691706
70,312.15875
71,312.260022
72,310.9947
73,312.683831
74,312.07825
75,312.507833
76,310.746625
77,312.780333
78,311.639083
79,312.244875
80,311.265617
